Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
15135616,3859744,3859744,11275872,383317,357693,137736,6269538,416552,
15133952,3857880,3857880,11276072,383317,357693,137936,6269538,416552,
15134888,3858816,3858816,11276072,383317,357693,137936,6269538,416552,
15135288,3858816,3858816,11276472,383317,357693,138336,6269538,416552,
15136696,3860320,3860320,11276376,383317,357693,138128,6269538,416552,
15139192,3862408,3862408,11276784,383317,357693,138536,6269538,416552,
15140960,3864856,3864856,11276104,383317,357693,137856,6269538,416552,
15141360,3864856,3864856,11276504,383317,357693,138256,6269538,416552,
15141792,3864856,3864856,11276936,383317,357693,138688,6269538,416552,
15142200,3864856,3864856,11277344,383317,357693,139096,6269538,416552,
15144792,3868808,3868808,11275984,383317,357693,137736,6269538,416552,
15145192,3868808,3868808,11276384,383317,357693,138136,6269538,416552,
15145592,3868808,3868808,11276784,383317,357693,138536,6269538,416552,
15145992,3868808,3868808,11277184,383317,357693,138936,6269538,416552,
15146392,3868808,3868808,11277584,383317,357693,139336,6269538,416552,
15146792,3868808,3868808,11277984,383317,357693,139736,6269538,416552,
15147216,3868808,3868808,11278408,383317,357693,140160,6269538,416552,
15144832,3868808,3868808,11276024,383317,357693,137776,6269538,416552,
15145232,3868808,3868808,11276424,383317,357693,138176,6269538,416552,
15145736,3868904,3868808,11276832,383317,357693,138576,6269538,416552,
15146032,3868808,3868808,11277224,383317,357693,138976,6269538,416552,
15146320,3868808,3868808,11277512,383317,357693,139376,6269538,416552,
15146720,3868808,3868808,11277912,383317,357693,139776,6269538,416552,
15151072,3872760,3872760,11278312,383317,357693,140176,6269538,416552,
15152672,3876712,3876712,11275960,383317,357693,137824,6269538,416552,
15141576,3865192,3865192,11276384,383317,357693,138248,6269538,416552,
15149656,3872760,3872760,11276896,383317,357693,138648,6269538,416552,
15154008,3876712,3876712,11277296,383317,357693,139048,6269538,416552,
15146504,3868808,3868808,11277696,383317,357693,139448,6269538,416552,
15150856,3872760,3872760,11278096,383317,357693,139848,6269538,416552,
15155240,3876712,3876712,11278528,383317,357693,140280,6269538,416552,
15143976,3867872,3867872,11276104,383317,357693,137856,6269538,416552,
15149280,3872760,3872760,11276520,383317,357693,138272,6269538,416552,
15153640,3876712,3876712,11276928,383317,357693,138680,6269538,416552,
15145200,3867872,3867872,11277328,383317,357693,139080,6269538,416552,
15150488,3872760,3872760,11277728,383317,357693,139480,6269538,416552,
15154840,3876712,3876712,11278128,383317,357693,139880,6269538,416552,
15145824,3867296,3867296,11278528,383317,357693,140280,6269538,416552,
15146456,3870312,3870312,11276144,383317,357693,137896,6269538,416552,
15153360,3876808,3876712,11276552,383317,357693,138296,6269538,416552,
15153680,3876712,3876712,11276968,383317,357693,138720,6269538,416552,
15147688,3870312,3870312,11277376,383317,357693,139128,6269538,416552,
15154488,3876712,3876712,11277776,383317,357693,139528,6269538,416552,
15154776,3876712,3876712,11278064,383317,357693,139928,6269538,416552,
15148816,3870312,3870312,11278504,383317,357693,140368,6269538,416552,
15148832,3872760,3872760,11276072,383317,357693,137936,6269538,416552,
15153296,3876712,3876712,11276584,383317,357693,138336,6269538,416552,
15147296,3870312,3870312,11276984,383317,357693,138736,6269538,416552,
15150144,3872760,3872760,11277384,383317,357693,139136,6269538,416552,
15154496,3876712,3876712,11277784,383317,357693,139536,6269538,416552,
15146992,3868808,3868808,11278184,383317,357693,139936,6269538,416552,
15151368,3872760,3872760,11278608,383317,357693,140360,6269538,416552,
15152936,3876712,3876712,11276224,383317,357693,137976,6269538,416552,
15145464,3868808,3868808,11276656,383317,357693,138408,6269538,416552,
15149704,3872760,3872760,11276944,383317,357693,138808,6269538,416552,
15154168,3876712,3876712,11277456,383317,357693,139208,6269538,416552,
15146664,3868808,3868808,11277856,383317,357693,139608,6269538,416552,
15151048,3872760,3872760,11278288,383317,357693,140040,6269538,416552,
15155408,3876712,3876712,11278696,383317,357693,140448,6269538,416552,
15144240,3867968,3867872,11276272,383317,357693,138016,6269538,416552,
15149424,3872760,3872760,11276664,383317,357693,138416,6269538,416552,
15153776,3876712,3876712,11277064,383317,357693,138816,6269538,416552,
15144760,3867296,3867296,11277464,383317,357693,139216,6269538,416552,
15150624,3872760,3872760,11277864,383317,357693,139616,6269538,416552,
15154976,3876712,3876712,11278264,383317,357693,140016,6269538,416552,
15155288,3876712,3876712,11278576,383317,357693,140440,6269538,416552,
15146648,3870312,3870312,11276336,383317,357693,138088,6269538,416552,
15153448,3876712,3876712,11276736,383317,357693,138488,6269538,416552,
15153848,3876712,3876712,11277136,383317,357693,138888,6269538,416552,
15147848,3870312,3870312,11277536,383317,357693,139288,6269538,416552,
15150696,3872760,3872760,11277936,383317,357693,139688,6269538,416552,
15155080,3876712,3876712,11278368,383317,357693,140120,6269538,416552,
15149088,3870312,3870312,11278776,383317,357693,140528,6269538,416552,
15149104,3872760,3872760,11276344,383317,357693,138096,6269538,416552,
15153456,3876712,3876712,11276744,383317,357693,138496,6269538,416552,
15147456,3870312,3870312,11277144,383317,357693,138896,6269538,416552,
15150192,3872760,3872760,11277432,383317,357693,139296,6269538,416552,
15154656,3876712,3876712,11277944,383317,357693,139696,6269538,416552,
