Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
16613064,4303100,4301456,12309964,438401,415791,65840,6826171,499088,
16622856,4287764,4286120,12335092,438401,415791,65824,6826171,499112,
16703352,4339124,4337576,12364228,438401,415791,65824,6826171,499112,
16752024,4341620,4340072,12410404,438401,415791,65824,6826171,499112,
16810728,4354132,4352584,12456596,438401,415791,65824,6826171,499112,
16862952,4360268,4358624,12502684,438401,415791,65824,6826171,499112,
16908984,4360248,4358604,12548736,438401,415791,65824,6826171,499112,
16942480,4347640,4346092,12594840,438401,415791,65824,6826171,499112,
16980704,4339784,4338236,12640920,438401,415791,65824,6826171,499112,
17040752,4353752,4352204,12687000,438401,415791,65824,6826171,499112,
GPIO Reading stopped
