OTP_VERSION,21
IEX_VERSION,1.10.3
Total,Processes,ProcessesUsed,System,Atom,AtomUsed,Binary,Code,ETS
14694688,3710452,3710284,10984236,383317,351680,119304,6089241,407000,
14764320,3748572,3748500,11015748,383317,351680,150824,6089241,407000,
14739448,3755288,3755216,10984160,383317,351680,119272,6089241,407000,
14747128,3749332,3749260,10997796,383317,351680,132872,6089241,407000,
14761088,3748572,3748572,11012516,383317,351680,147592,6089241,407000,
14744624,3760416,3760416,10984208,383317,351680,119304,6089241,407000,
14743504,3745948,3745948,10997556,383317,351680,132632,6089241,407000,
14780904,3757236,3757236,11023668,383317,351680,158744,6089241,407000,
14801136,3767588,3767516,11033548,383317,351680,168624,6089241,407000,
14807120,3773564,3773564,11033556,383317,351680,168632,6089241,407000,
14766352,3750844,3750844,11015508,383317,351680,150584,6089241,407000,
14755816,3760436,3760436,10995380,383317,351680,130456,6089241,407000,
14741456,3746892,3746892,10994564,383317,351680,129640,6089241,407000,
14796152,3762884,3762884,11033268,383317,351680,168344,6089241,407000,
14805064,3771540,3771540,11033524,383317,351680,168600,6089241,407000,
14813176,3779628,3779628,11033548,383317,351680,168624,6089241,407000,
14740640,3746892,3746892,10993748,383317,351680,128824,6089241,407000,
14796152,3762884,3762884,11033268,383317,351680,168344,6089241,407000,
14803560,3770036,3770036,11033524,383317,351680,168600,6089241,407000,
14809536,3776012,3776012,11033524,383317,351680,168624,6089241,407000,
14737104,3743372,3743276,10993732,383317,351680,128824,6089241,407000,
14792624,3759268,3759268,11033356,383317,351680,168344,6089241,407000,
14766776,3751180,3751180,11015596,383317,351680,150584,6089241,407000,
GPIO Reading stopped
